s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,3.0,3.0,,,,,
,,,,1.436,,,,,,,,2.716
,,,,,5.0,0.0,,,,,,
,,,,,,,,,2.976,,0.516,
1.764,,,,,,,,,,,,1.784
,,,1.74,,,,,,,,,1.98
,,,0.032,,4.872,,,,,,,
,,,,,,,2.988,,,,,3.008
3.0,,,,,,3.0,,,,,,
,,,,,,,2.012,2.892,,,,
,,,,,,,0.992,,1.032,,,
,2.608,,,,,,,,,,1.208,
,,,,,,2.988,,,,,,3.008
2.788,,,,,,,,,,2.788,,
,,,,,,0.108,,4.928,,,,
,,,,,,0.036,,,,,4.976,
,,,3.008,,,2.988,,,,,,
2.576,,,,,,,,2.576,,,,
,3.0,,,,,3.0,,,,,,
2.036,,,,,,,,,,,2.056,
,,2.7,,,,,,,,,0.96,
,,,,,,,,,,2.884,,0.604
,,,,,5.0,0.0,,,,,,
,,,,,2.968,,,,,0.508,,
,,4.596,0.196,,,,,,,,,
,,,0.032,,,,,,4.872,,,
,,,,,,,,0.856,1.696,,,
,1.632,,,,,,,,,,,1.832
,,,,,,,0.992,,1.032,,,
,1.868,1.868,,,,,,,,,,
,,,,,3.0,,,,,,0.5,
,2.46,,,,,,,,,,1.44,
,1.024,,,,,,,,1.104,,,
,,,,4.048,,1.428,,,,,,
,,,,1.612,,,,,,,2.412,
,,,,0.54,,,,,3.1,,,
,,,,,,3.0,3.0,,,,,
,2.608,,,,,,,,,,1.208,
,,,,0.508,2.968,,,,,,,
,,,,,1.016,,,,0.996,,,
,,,,,,,1.672,3.032,,,,
,,,,,,,,1.708,,1.508,,
,,,,0.516,2.936,,,,,,,
,,,,,,,,2.744,,,,0.704
1.532,,,,,,,,,1.552,,,
,2.624,,,,,,,,,,1.264,
,,,3.008,,,,2.988,,,,,
,,,,3.944,,1.584,,,,,,
,,,,,2.824,,,,,0.544,,
,,,,,,,,2.924,,,0.604,
,,,,,1.032,,,0.992,,,,
,,,,,,3.0,3.0,,,,,
,,,,,,,2.244,3.504,,,,
,,,3.008,,,,2.988,,,,,
,,,,,,,,,,,1.356,2.396
2.168,,,,2.168,,,,,,,,
2.728,,,,,,,,,,2.748,,
,,,,,2.824,,,,,0.544,,
,,,,1.556,,,,,,,,2.556
,,2.856,,1.036,,,,,,,,
,,,,3.96,,1.56,,,,,,
,,,,,2.984,,,,,,0.504,
,1.596,,,,,,,2.016,,,,
2.728,,,,,,,,,,2.748,,
,,4.596,0.196,,,,,,,,,
,,,,,,,1.28,,2.2,,,
,,,,,1.0,,,,1.0,,,
,,2.588,,1.268,,,,,,,,
,3.0,,,,,,3.0,,,,,
,2.16,,1.9,,,,,,,,,
,,,0.564,,,,,,,3.184,,
,,,2.552,,,,,,,,1.432,
,1.976,,1.556,,,,,,,,,
2.728,,,,,,,,,,2.748,,
,,2.736,,,,,1.896,,,,,
,,,,1.372,,,,2.632,,,,
,,,,,,,,,2.936,,,0.516
,,0.716,,,,,,2.876,,,,
,,,,,,,2.976,,,,,3.016
,,,,,,,2.976,,,,,3.016
,,,,,,2.988,,,,,,3.008
,,2.668,,,,,1.548,,,,,
,2.824,,,1.304,,,,,,,,
,,,,,,,2.988,,,,,3.008
,,,,1.276,,,,2.676,,,,
,,,,0.46,,,,,3.2,,,
,,,,3.984,,1.524,,,,,,
,,,,,,,1.416,,,2.676,,
,,,0.424,,3.304,,,,,,,
,0.996,,,,1.016,,,,,,,
2.884,,,2.884,,,,,,,,,
2.036,,,,,,,,,,,2.056,
2.5,,,,,,,,,,,,2.5
,,,,1.488,,,,,,,2.768,
3.0,,,,,,3.0,,,,,,
,,,,,,0.984,,,,,,4.344
,3.0,,,,,3.0,,,,,,
3.0,,,,,,3.0,,,,,,
,,,,,,,2.176,,,,,3.276
,,,,,,,,1.708,,1.508,,
2.884,,,2.884,,,,,,,,,
,,,,,,,2.096,,,,,3.316
,3.0,,,,,3.0,,,,,,
,,,,,,,,,1.032,,,0.992
,,,,,,,,,,,1.2,2.64
,,1.64,2.46,,,,,,,,,
,,,,3.068,,,1.908,,,,,
,,,,3.984,,1.524,,,,,,
,2.828,,,1.128,,,,,,,,
3.0,,,,,,3.0,,,,,,
3.0,,,,,,3.0,,,,,,
,1.604,,,,,,,,,,,1.384
,,,,,5.0,0.0,,,,,,
2.5,,,,,,,,2.5,,,,
,,,0.54,,,,,,,3.24,,
,,,,,,,,0.988,1.048,,,
,,,,,1.0,,,,1.0,,,
,,,,,,,,2.616,,,0.996,
,,1.64,2.46,,,,,,,,,
,,,,,,,,1.44,,1.7,,
,,,,,,,,2.616,,,0.996,
,,,,,1.016,,,,,,,0.996
