s_0_score,s_10_score,s_11_score,s_12_score,s_13_score,s_14_score,s_15_score,s_16_score,s_17_score,s_18_score,s_19_score,s_1_score,s_20_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,1.776,,2.416,,,,,,,,,,,
,,,,,,,,,1.012,,,,,,,,1.052,,,
,,,2.28,,,,,,,,,,,,,1.56,,,,
,,4.636,,,0.236,,,,,,,,,,,,,,,
,,,,,,,,,,0.652,,,,,,,,2.952,,
,,,,,,,,,,,,,1.064,,,,,,0.984,
,,,,,,,,,,,2.236,,,,,,,,,2.176
,,1.1,,,,,,,,,,,,,1.04,,,,,
,,,,,0.016,,,,,,,,4.936,,,,,,,
,,,,,,,,,,,,4.992,,0.012,,,,,,
,,,,,,,,,,,,,,,,,1.096,,1.056,
,,,,1.152,,,,3.092,,,,,,,,,,,,
,2.676,,,,,,,,,,,,,,,,,,,1.296
,,,,,,2.6,,,,,,,,,1.6,,,,,
,,,,,,,,,,,,,,,,0.688,,,,2.508
,2.172,,,,1.712,,,,,,,,,,,,,,,
,,,,,,,,,,0.504,,,2.984,,,,,,,
,,,,,,,,,,,,0.988,1.048,,,,,,,
,,,,,,1.2,,,,2.68,,,,,,,,,,
,,,,,,2.48,,,,,1.82,,,,,,,,,
,,,,,,,,,,,,,4.904,,,,,,,0.024
,,,2.492,,,,,,,,,,,,1.652,,,,,
,,2.836,,,,,,0.756,,,,,,,,,,,,
,,,2.492,,,,,,,,,,,,1.652,,,,,
3.0,,,,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,,,,2.256,,,,1.496,,,,
,,,,,1.092,,,,,,,,,,,,,,1.092,
,,,,1.58,,,,,2.44,,,,,,,,,,,
,,,1.732,,,,,,,2.052,,,,,,,,,,
,,,,0.076,,,,,,,,,,,,,,,4.876,
,,2.952,,,,,,0.612,,,,,,,,,,,,
,,,,,,,,,,,,0.988,,,,1.048,,,,
1.768,,,,,,,,,,,,,,,,1.768,,,,
,,,,,,,,,,,,,,,1.5,,2.88,,,
,,,,2.852,,,,,,,1.072,,,,,,,,,
,,,,,,,,,,,,4.728,,,,,,,,0.128
,,,1.696,,,,,,,2.076,,,,,,,,,,
,,,3.04,1.04,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4.728,,,,,,,,0.128
,,,,,,,,,,,,,,,,,1.032,,1.032,
,,,2.608,,,,,,,,1.308,,,,,,,,,
,,,,,,,,,,0.504,,,2.984,,,,,,,
2.356,,,,,,,,,,,2.356,,,,,,,,,
,,2.892,,,,,,,,0.632,,,,,,,,,,
1.044,,,,,,,,,,,,1.064,,,,,,,,
,,,1.82,,1.9,,,,,,,,,,,,,,,
,,,,,1.168,,,,1.208,,,,,,,,,,,
,,,,,,,,4.072,,,,,,1.392,,,,,,
,,,,0.208,4.628,,,,,,,,,,,,,,,
,,,,,,,,3.004,,,0.824,,,,,,,,,
,,,,,,,,,2.0,,,,,,,,,1.72,,
,,,,,,,1.74,,2.38,,,,,,,,,,,
,,,,3.064,,,1.124,,,,,,,,,,,,,
,,,1.82,,1.9,,,,,,,,,,,,,,,
,,,,,,,,1.372,,,,,,,,,,,,1.872
,,,,,,,,,,,,,1.048,,,,,,,0.988
1.06,,1.08,,,,,,,,,,,,,,,,,,
