s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,1.928,2.028,,,,,,,,,,
2.216,,,,,,,,,,,2.216,
,,,,,1.064,,,,,0.984,,
1.912,,,,,,,,1.932,,,,
,1.548,,,,,,,,2.568,,,
,,,,,,3.0,3.0,,,,,
,,,,0.548,2.808,,,,,,,
,,,,,,,,,1.9,,1.9,
,,,,1.724,,,,,,,2.544,
,,,,,,,,,1.824,,,2.324
,1.548,,,,,,,,2.568,,,
,1.548,,,,,,,,2.568,,,
,,2.128,,,,,,1.768,,,,
,,,3.32,,,,1.76,,,,,
,,,,3.324,,,1.844,,,,,
,,,,,,,,,,2.104,1.924,
,,,,,1.064,,,0.984,,,,
,0.984,,,,1.064,,,,,,,
,,,,0.492,3.032,,,,,,,
,,,,,,1.464,,4.024,,,,
,,,,4.096,,1.356,,,,,,
,,,,,1.064,,,0.984,,,,
,1.672,,,,,,,,,2.132,,
,,,,,,3.0,3.0,,,,,
,,2.02,,,,,,,1.86,,,
,3.672,,,,,1.992,,,,,,
,,2.092,,,,,,,,,1.792,
,,,,,,,1.968,3.148,,,,
,,,2.232,,,,,,,,,1.652
,,,,,,0.012,,,,,4.992,
,,2.184,,,,,,,,,,1.784
,,0.508,,,2.968,,,,,,,
,,,,3.18,,,1.9,,,,,
,,0.508,,,2.968,,,,,,,
,,,,,,,1.88,,,,3.34,
3.0,,,,,,3.0,,,,,,
2.308,,,,2.308,,,,,,,,
,,,,,,1.524,,,3.984,,,
,1.932,,,,,,,1.852,,,,
,1.936,,,,,,,,,,1.956,
,,,2.6,1.6,,,,,,,,
0.996,,,,,1.016,,,,,,,
,,4.952,,,,0.072,,,,,,
,,,,3.136,,,1.896,,,,,
,,,,3.888,,1.668,,,,,,
3.0,,,,,,,3.0,,,,,
,,0.332,,,,,,,,,4.352,
,,,,,,1.512,,,3.992,,,
2.228,,2.228,,,,,,,,,,
,,,,,,,,2.04,,,,1.7
,,,1.0,,1.0,,,,,,,
,1.952,,1.792,,,,,,,,,
,,,,1.384,,,,,,2.424,,
,,,,,,,,,,,1.908,2.128
,,,,1.176,,,,,,2.676,,
1.184,,,1.204,,,,,,,,,
,,,,,,,3.0,,,,,3.0
,,,,,,,,,1.872,,2.032,
,,,,1.812,,,,,2.332,,,
,2.512,,,1.792,,,,,,,,
2.888,2.888,,,,,,,,,,,
,,,,3.92,,1.62,,,,,,
,1.824,1.504,,,,,,,,,,
,,,5.0,,,0.0,,,,,,
,,3.008,,,,2.988,,,,,,
,,,,1.56,,,,,,,2.54,
,,,,,,,,1.632,,2.072,,
,,1.82,,,,,,1.86,,,,
,2.484,,,1.804,,,,,,,,
1.648,,,1.668,,,,,,,,,
,3.344,,,,,,2.204,,,,,
,,,2.18,,,,,,,,,1.54
,,1.852,,,,,,1.872,,,,
,,,,,,,1.56,,3.94,,,
,,,,,,,,2.116,,,1.816,
1.58,,,,,,,,1.58,,,,
,,3.008,,,,2.988,,,,,,
,,,,1.432,,,,,,2.632,,
,,,,,,,,,1.696,,,2.316
,3.344,,,,,,2.204,,,,,
,,,,,,,,,,2.1,1.6,
,,,,3.132,,,1.872,,,,,
,,1.976,,,,,,,1.876,,,
,,,,,1.048,,,,,,0.988,
,,,,,,,,1.632,,2.072,,
,,1.816,,,,,,2.076,,,,
3.0,,,,,,,,,,,,3.0
,,2.076,,,,,,1.916,,,,
,,,,,4.872,,,,0.032,,,
,,,,,,,,2.092,,,1.612,
,0.98,,,,1.08,,,,,,,
,,,,,,,1.704,,,,3.144,
,,,,,1.048,,,,,,0.988,
,,,,,,,,2.296,,,,1.496
,,,,1.104,,,,2.804,,,,
,1.972,,1.712,,,,,,,,,
,,,,3.16,,,1.86,,,,,
,1.808,,,,,,,,,,1.448,
,,,,,,,1.636,,,3.116,,
,2.132,,,,,,,,,,1.632,
,,,,,5.0,0.0,,,,,,
,,1.744,,,,,,,,,1.684,
,2.1,2.0,,,,,,,,,,
,,,2.128,,,,,,1.828,,,
,,2.548,,1.528,,,,,,,,
2.12,,,,,,,,,2.14,,,
,,,,1.744,,,,,,,,2.484
,2.12,,,,,,,,,,,1.5
,,1.816,,,,,,2.076,,,,
,,,,,,,,1.632,,2.072,,
,,,2.184,,,,,,,,,1.484
2.228,,,,2.228,,,,,,,,
,,1.976,,,,,,,1.876,,,
1.98,,,,,,,,,,,1.98,
,,,,1.412,,,,2.552,,,,
