s_0_history_len,s_0_model_depth,s_0_score,s_1_history_len,s_1_model_depth,s_1_score,s_2_history_len,s_2_model_depth,s_2_score,s_3_history_len,s_3_model_depth,s_3_score
10.0,10.0,2.39,10.0,10.0,2.39,,,,,,
,,,10.0,10.0,1.65,10.0,10.0,2.55,,,
,,,10.0,10.0,1.04,,,,10.0,10.0,2.84
,,,10.0,10.0,1.04,,,,10.0,10.0,2.79
,,,10.0,10.0,1.3,,,,10.0,10.0,2.65
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
10.0,10.0,2.15,10.0,10.0,2.2,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,1.35,10.0,10.0,2.2
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.11,,,,,,,10.0,10.0,2.16
,,,10.0,10.0,0.97,,,,10.0,10.0,2.82
,,,10.0,10.0,1.69,10.0,10.0,2.79,,,
10.0,10.0,2.14,10.0,10.0,2.14,,,,,,
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,1.35,10.0,10.0,2.2
,,,10.0,10.0,1.84,10.0,10.0,2.44,,,
,,,10.0,10.0,1.8,10.0,10.0,2.6,,,
,,,,,,10.0,10.0,1.35,10.0,10.0,2.2
10.0,10.0,2.18,10.0,10.0,2.23,,,,,,
,,,10.0,10.0,0.96,,,,10.0,10.0,3.01
10.0,10.0,2.03,10.0,10.0,2.03,,,,,,
,,,10.0,10.0,1.76,10.0,10.0,2.36,,,
,,,,,,10.0,10.0,1.35,10.0,10.0,2.2
,,,10.0,10.0,1.72,10.0,10.0,2.52,,,
10.0,10.0,2.16,10.0,10.0,2.16,,,,,,
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
10.0,10.0,2.23,10.0,10.0,2.23,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.74,10.0,10.0,2.39,,,
,,,,,,10.0,10.0,1.35,10.0,10.0,2.2
,,,10.0,10.0,1.99,10.0,10.0,2.24,,,
10.0,10.0,1.97,,,,,,,10.0,10.0,1.97
,,,10.0,10.0,1.82,10.0,10.0,2.27,,,
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
,,,,,,10.0,10.0,1.41,10.0,10.0,2.11
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.12,,,,10.0,10.0,2.57
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
,,,10.0,10.0,1.75,10.0,10.0,2.65,,,
,,,10.0,10.0,1.12,,,,10.0,10.0,2.77
10.0,10.0,2.43,,,,10.0,10.0,2.43,,,
10.0,10.0,2.24,10.0,10.0,2.24,,,,,,
10.0,10.0,2.11,10.0,10.0,2.11,,,,,,
10.0,10.0,2.29,,,,10.0,10.0,2.34,,,
,,,,,,10.0,10.0,1.53,10.0,10.0,2.13
10.0,10.0,2.23,10.0,10.0,2.23,,,,,,
